iter	RMSE
500	4.210574501
501	4.20545288
502	4.201868104
503	4.196635572
504	4.193407235
505	4.191285744
506	4.190394099
507	4.190318776
508	4.188237306
509	4.186246439
510	4.181828706
511	4.180431521
512	4.176937536
513	4.173029769
514	4.169597542
515	4.166948562
516	4.165181692
517	4.164117169
518	4.162861654
519	4.162336458
520	4.16029277
521	4.160157749
522	4.15533421
523	4.150262426
524	4.146069023
525	4.142739216
526	4.140765158
527	4.139451988
528	4.133684419
529	4.13171752
530	4.127852178
531	4.124501519
532	4.120723854
533	4.119738303
534	4.118204155
535	4.114691859
536	4.110535345
537	4.10794655
538	4.103944468
539	4.103708425
540	4.102487672
541	4.098704877
542	4.094628267
543	4.094230943
544	4.091223837
545	4.091045222
546	4.089502151
547	4.08684339
548	4.086777436
549	4.084363902
550	4.084299787
551	4.082927063
552	4.079591894
553	4.078377237
554	4.075130415
555	4.073953273
556	4.073073787
557	4.069668435
558	4.068820424
559	4.064782379
560	4.061836564
561	4.058525696
562	4.057923887
563	4.055832946
564	4.05567134
565	4.055610463
566	4.052488438
567	4.049339897
568	4.046933791
569	4.042762509
570	4.042532676
571	4.042082064
572	4.040683092
573	4.040331532
574	4.03888923
575	4.037220442
576	4.034185805
577	4.031058167
578	4.028837407
579	4.027039008
580	4.025819769
581	4.022711529
582	4.019490942
583	4.017451174
584	4.015924569
585	4.01311427
586	4.011635263
587	4.01063197
588	4.00494894
589	4.004111118
590	4.000830202
591	3.996402351
592	3.993226024
593	3.990027005
594	3.988450848
595	3.98654758
596	3.985526044
597	3.982805603
598	3.981605779
599	3.978818527
600	3.976547735
601	3.973860151
602	3.971447833
603	3.968174054
604	3.96602604
605	3.964266397
606	3.963640233
607	3.960486677
608	3.958777256
609	3.955680077
610	3.955332982
611	3.950739818
612	3.95030508
613	3.948975059
614	3.945969755
615	3.944331806
616	3.942744986
617	3.939614675
618	3.936978762
619	3.934400663
620	3.9290608
621	3.92870642
622	3.927509585
623	3.927434338
624	3.923182595
625	3.920319425
626	3.9180884
627	3.917724691
628	3.917528787
629	3.916175932
630	3.915412439
631	3.910372353
632	3.909140116
633	3.906226359
634	3.905232801
635	3.903008329
636	3.90173096
637	3.90067187
638	3.899739691
639	3.897974816
640	3.896986404
641	3.895182979
642	3.891453311
643	3.891172105
644	3.890621356
645	3.888549561
646	3.888142006
647	3.885780304
648	3.885728199
649	3.884455107
650	3.88264376
651	3.881950996
652	3.878287816
653	3.874857954
654	3.872962816
655	3.868713226
656	3.866994294
657	3.866038226
658	3.86300437
659	3.861455807
660	3.861282093
661	3.85980623
662	3.858601567
663	3.85741886
664	3.857236036
665	3.855516674
666	3.851442979
667	3.847306626
668	3.844917236
669	3.844720827
670	3.843465211
671	3.842579146
672	3.841743128
673	3.839837551
674	3.838339643
675	3.836528844
676	3.834865904
677	3.83460642
678	3.833770942
679	3.831381601
680	3.829147097
681	3.826448614
682	3.823566585
683	3.820778434
684	3.82064589
685	3.818921386
686	3.816234217
687	3.814141038
688	3.81291813
689	3.810517677
690	3.807964393
691	3.805956553
692	3.803953142
693	3.802578145
694	3.801254999
695	3.79817624
696	3.796397875
697	3.794575091
698	3.793578721
699	3.790655765
700	3.78933031
701	3.785787167
702	3.78409076
703	3.781670344
704	3.781658578
705	3.779389839
706	3.77852865
707	3.777739713
708	3.776349868
709	3.772115976
710	3.768879655
711	3.76633811
712	3.766198581
713	3.765024878
714	3.763923667
715	3.762719637
716	3.761432238
717	3.759024581
718	3.758382073
719	3.756377147
720	3.755440069
721	3.754474977
722	3.752030933
723	3.748468793
724	3.746945228
725	3.743370239
726	3.739374324
727	3.736288514
728	3.733960515
729	3.733604902
730	3.732639665
731	3.731455385
732	3.728120685
733	3.726065096
734	3.723945593
735	3.722771011
736	3.720456039
737	3.719731213
738	3.717181838
739	3.714564069
740	3.71363855
741	3.710517808
742	3.708355845
743	3.70656784
744	3.702710163
745	3.70262089
746	3.699892446
747	3.69786148
748	3.693072269
749	3.691410987
750	3.687632467
751	3.687370328
752	3.686233416
753	3.685436595
754	3.681545532
755	3.680739555
756	3.680577289
757	3.678491393
758	3.676535358
759	3.675946908
760	3.675656893
761	3.674531808
762	3.673484006
763	3.669845987
764	3.669770257
765	3.668435575
766	3.666572155
767	3.66543892
768	3.665143651
769	3.664105594
770	3.661846175
771	3.658321112
772	3.658008711
773	3.656933526
774	3.656503288
775	3.653456547
776	3.65155751
777	3.65106216
778	3.650378423
779	3.649393887
780	3.64902744
781	3.648174921
782	3.647438234
783	3.645609522
784	3.643271735
785	3.641495355
786	3.637317859
787	3.635771177
788	3.632674606
789	3.631570628
790	3.63064265
791	3.629036297
792	3.627035492
793	3.624136744
794	3.624002035
795	3.623453793
796	3.620907529
797	3.620226488
798	3.619571036
799	3.616097229
800	3.615290085
801	3.612721679
802	3.610551685
803	3.607586976
804	3.606534224
805	3.604325523
806	3.604134381
807	3.603246042
808	3.599576518
809	3.596992363
810	3.594569359
811	3.593563841
812	3.593070667
813	3.592853887
814	3.592111771
815	3.591632559
816	3.588943748
817	3.585729102
818	3.585351024
819	3.583829815
820	3.582659943
821	3.581498929
822	3.579377806
823	3.577267441
824	3.574046704
825	3.571978694
826	3.570638988
827	3.568403621
828	3.565271875
829	3.563361176
830	3.562784378
831	3.560021818
832	3.559930153
833	3.559636879
834	3.556518296
835	3.555017184
836	3.55451248
837	3.552065828
838	3.55083415
839	3.548420043
840	3.545319327
841	3.544416303
842	3.541570491
843	3.540789265
844	3.540502777
845	3.539863534
846	3.539404261
847	3.538042081
848	3.537043296
849	3.53567564
850	3.53565107
851	3.535600016
852	3.533444905
853	3.5312637
854	3.530456983
855	3.527596328
856	3.525984144
857	3.524544886
858	3.52281088
859	3.522424737
860	3.519857555
861	3.518700112
862	3.517315639
863	3.516344317
864	3.512515442
865	3.511969807
866	3.509504856
867	3.507407687
868	3.504826981
869	3.504291322
870	3.503950992
871	3.502989723
872	3.49933438
873	3.495631366
874	3.494206287
875	3.493227817
876	3.491458914
877	3.491375987
878	3.489063536
879	3.487078208
880	3.486690041
881	3.485607223
882	3.484064047
883	3.481188348
884	3.481109987
885	3.477015121
886	3.476563938
887	3.475425116
888	3.473719879
889	3.473034217
890	3.471856965
891	3.469941185
892	3.468107831
893	3.465745037
894	3.465564569
895	3.464627796
896	3.462993764
897	3.46214422
898	3.46144144
899	3.460596715
900	3.460138149
901	3.459720411
902	3.458619732
903	3.456917653
904	3.454221666
905	3.452294969
906	3.451817804
907	3.451700292
908	3.449719614
909	3.448260272
910	3.446396135
911	3.444159704
912	3.443464496
913	3.442761136
914	3.441273526
915	3.439572383
916	3.437368425
917	3.435199942
918	3.431789033
919	3.428883213
920	3.426599805
921	3.424810705
922	3.421586997
923	3.42095403
924	3.417316907
925	3.415001978
926	3.413271191
927	3.412319338
928	3.411832998
929	3.411579108
930	3.410263302
931	3.40897256
932	3.408121694
933	3.407099154
934	3.406496377
935	3.405451974
936	3.403556717
937	3.403459617
938	3.402025462
939	3.399730873
940	3.399120383
941	3.398658494
942	3.396402292
943	3.395990223
944	3.393956141
945	3.390384728
946	3.388451565
947	3.386603466
948	3.383715775
949	3.382399702
950	3.382343989
951	3.38045172
952	3.378421269
953	3.373715543
954	3.372358334
955	3.370625043
956	3.368906156
957	3.366825424
958	3.365617021
959	3.363870384
960	3.36071105
961	3.358104346
962	3.357360672
963	3.356377284
964	3.355132081
965	3.353967233
966	3.351729575
967	3.351330833
968	3.349073503
969	3.346973719
970	3.345752287
971	3.342951965
972	3.342123015
973	3.340956238
974	3.340720114
975	3.338976313
976	3.337312641
977	3.335894303
978	3.335804332
979	3.332533756
980	3.331048125
981	3.329541834
982	3.326283726
983	3.323443325
984	3.32296893
985	3.322624921
986	3.321587482
987	3.318085049
988	3.316506079
989	3.315468587
990	3.314620817
991	3.3141238
992	3.312901714
993	3.308555886
994	3.305728167
995	3.304526795
996	3.304464048
997	3.302803266
998	3.30189953
999	3.301298438
